AccelX, AccelY, AccelZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
979,2581,3006,-56,36,-54,142,-287,-183
917,2296,3272,-5,-5,1,131,-327,-200
914,2283,3239,-4,20,-2,131,-327,-196
928,2324,3307,2,-1,0,130,-323,-197
424,2239,3204,-222,236,286,129,-319,-199
1001,2240,2894,-316,-462,395,126,-320,-204
1336,2117,3676,-165,-136,516,89,-328,-206
1580,2836,3656,1010,4011,-546,53,-339,-215
691,2538,3821,544,-2244,490,125,-341,-178
880,1423,5055,881,1317,2084,130,-307,-143
1169,2229,3025,-43,859,679,73,-279,-125
654,2281,3448,318,2250,-85,61,-266,-124
976,2170,3530,-1308,-1937,2872,60,-273,-113
2836,745,3014,-219,-3263,2620,-131,-233,-157
536,1724,2591,-636,564,-4066,-290,-154,-105
2557,1623,2615,-435,-544,238,-259,-260,-154
3076,1778,2160,-432,496,87,-258,-261,-140
3285,1505,2819,-319,553,47,-246,-236,-162
3185,1413,3400,-131,650,-339,-225,-214,-188
2721,1950,2741,95,141,-555,-195,-189,-213
,,,,,,,,
2227,1557,2620,291,-58,-879,-165,-168,-241
1606,915,3649,9,-33,17,-43,56,-260
2486,1027,3965,-104,-359,-296,-51,59,-264
2903,1209,4224,-44,-348,-403,-48,56,-269
3008,1148,4709,78,-198,-552,-54,66,-266
1940,938,4687,636,-496,-1052,-47,60,-285
651,1327,3195,958,-578,-1354,-48,37,-301
537,1748,2231,1049,-285,-1250,-55,-16,-323
431,2596,1526,806,-95,-796,-60,-76,-314
844,3166,1070,-270,-189,92,-40,-133,-298
780,2782,1468,-1164,289,647,-48,-144,-304
1163,1672,2293,-1740,62,721,-47,-87,-319
1287,521,2992,-2391,-286,719,-48,-19,-333
996,-304,3411,-2141,489,781,-20,108,-324
1261,-1522,4371,-1860,170,917,52,184,-288
567,-1749,4276,-1288,671,699,184,188,-235
472,-2498,4579,-976,548,558,361,71,-242
298,-2716,4874,-332,229,216,555,-5,-254
354,-1492,3583,522,83,-46,623,-31,-242
197,-2362,3869,511,-6,-18,628,-32,-238
,,,,,,,,
199,-2435,3631,1357,-236,-65,586,-23,-243
1428,1084,3722,12,-43,18,-59,110,-198
3124,1219,4296,-121,-368,-573,-75,109,-208
3195,1297,4493,-76,-327,-660,-80,108,-208
2586,962,4457,89,-390,-1221,-72,115,-212
796,930,4585,529,-498,-1051,-65,112,-240
900,1058,3042,929,-923,-1714,-62,80,-272
77,1795,2163,1292,-226,-1711,-79,24,-290
254,3052,703,896,-247,-566,-57,-65,-280
185,3326,262,-803,233,799,-60,-122,-254
1442,1866,1611,-1661,215,1118,-64,-101,-266
1265,835,3349,-1951,-122,644,-74,-4,-279
1669,661,3485,-1843,436,769,-53,97,-281
1227,-620,4180,-1701,750,806,-17,170,-249
1379,-1404,4626,-1377,504,804,88,215,-174
1055,-1538,4460,-1060,508,458,204,140,-105
590,-1933,4846,-586,212,133,363,17,-88
533,-1813,4352,-174,-74,-20,519,-74,-129
610,-1735,4058,74,-75,-69,617,-116,-178
492,-1743,3978,489,-102,-252,655,-127,-185
,,,,,,,,
541,-1847,4060,1122,530,-104,619,-122,-171
1408,-412,3826,-312,425,274,-114,254,-197
2823,-457,4435,167,305,-1107,-112,276,-198
2378,-345,4571,243,298,-1300,-112,280,-199
1680,-611,5207,450,-440,-2038,-108,274,-226
326,-107,4353,1812,-828,-2969,-102,256,-254
79,1476,2476,2465,-262,-1765,-111,148,-288
-2,2520,1346,2224,1164,-687,-106,-21,-258
299,3620,-128,688,76,112,-61,-153,-190
517,3415,101,-1443,-443,98,-54,-218,-165
508,2557,1008,-2544,223,510,-66,-187,-195
909,1046,2753,-2969,-524,797,-84,-56,-269
1136,226,3023,-2172,496,823,-94,102,-308
489,-947,4374,-2113,483,935,-45,229,-278
870,-1627,4218,-1405,360,636,43,292,-217
160,-2089,4205,-1394,722,470,166,232,-104
120,-2894,5603,-553,208,125,366,105,-93
403,-2348,4825,180,88,61,540,31,-131
254,-2276,4406,421,-39,128,660,-9,-140
124,-2613,4247,1416,153,198,653,-38,-129
,,,,,,,,
-691,-1559,3764,2439,-860,-288,542,-41,-101
659,904,3730,309,-194,76,-44,65,-136
2036,2237,5277,587,395,-549,-72,92,-173
1583,1927,5064,679,-531,-873,-58,102,-177
362,1084,4917,856,123,-1126,-44,104,-197
-307,1249,3466,1539,-808,-1365,-11,70,-244
-842,1738,2179,2350,1877,-524,6,10,-264
